Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
40-60,Qumoq,25.7128073607444,1.45711301033181,7.93730544885592,2.31401024591583,14.730419081566,8.52252075649817,149.053613614809,0.608169939434767,191.606107101677,14.281693625385,57.7783209453447,87.64688249881,0.420983758083049,96.5096621901884,12.5163405018616,1267278,Bug'doy
40-60,Qumoq,25.433538246182,1.46464905724019,6.2463068019053,1.82168897799423,82.6200258125245,69.4324814917579,253.167409914374,2.59350078194224,111.327085587198,20.6014396724916,39.6876659306071,46.0704405559686,1.54035775965253,147.093983686609,11.6152791075046,77076271,Makkajo'xori
20-40,Loy,23.689498605135,1.40319108659558,8.28916586797831,2.0138448674493,14.648041315192,7.27000502134706,115.110419366332,0.465547659187276,155.00934310345,9.05729396163908,21.7292734680321,119.843093381343,1.0642960169826,136.168008194767,15.1134545499242,418065,Bug'doy
0-20,Loy,31.8971311528218,1.18051518309783,7.04073720316635,1.65838869541814,162.834909421137,73.4581591253097,252.186845331943,2.47586248530619,191.849054863509,29.6243050870105,42.6072236059102,118.275092689733,1.65102607972216,260.485570721944,21.4788580078597,56876960,Makkajo'xori
20-40,Qum,26.6283740702141,1.24742225063485,7.32326771937981,1.51834579784035,120.695095890273,63.0340308467257,214.797463175521,2.32903519268798,121.493596380889,32.5241966993592,59.5498066960325,95.1591075554905,1.17621086304295,242.888488801891,18.5629681755913,11331527,Makkajo'xori
40-60,Loy,28.4216333915308,1.317331963152,6.96518555635531,1.88937264734908,106.875007349802,58.861916154626,239.442309709355,2.48856936784048,83.3913391074773,28.7940542499748,40.3714941615384,132.194814509665,0.576151099174941,128.03298087149,7.91783018108403,5970142,Makkajo'xori
40-60,Loy,29.1041408002396,1.42590761024763,7.16889673707788,1.30495736549502,122.759084931968,63.6862590516569,187.465612629924,1.99249558309741,90.81057239929,20.5386898843808,20.7287873656286,69.2233131317154,1.52972025180221,131.862553241361,17.395513864056,29416652,Makkajo'xori
0-20,Loy,30.5215554418508,1.3118004361302,6.67758541719387,2.54794602795538,22.3348254382197,19.5334796479284,115.717120530243,1.24504753792233,140.7138071023,19.2976991161641,46.3116134088216,127.801523047365,0.782688701948679,110.472875186939,18.8637739387725,38180921,Paxta
20-40,Loy,22.7343760619254,1.22653582413529,6.87118310118036,1.38605395019245,169.163546690843,38.1441430524277,129.924036923738,1.01727645843582,,17.2057415158967,3.7922335767761,13.8030346465555,0.699982483790307,21.8857426119922,2.17656185416789,646616,Sabzi
0-20,Loy,33.4149454467079,1.3408428445662,7.05067721765372,2.79616554399492,26.3749112487601,21.6070933737318,137.577791177055,1.16324703990163,158.390184165907,17.4732927024207,26.8538445308971,128.098435637877,0.936896399771333,160.156424978549,12.0012563390106,43102111,Paxta
0-20,Qumoq,25.9010195407754,1.2046422128674,7.66851418544402,2.00201093876865,24.2441993036315,19.2614930739549,143.688450954164,1.21773113471624,144.691328857233,16.1226049839906,33.8219790640668,71.1722874788669,0.930993993953286,164.463415701879,10.6380406569971,77014773,Paxta
20-40,Qum,22.6179272271965,1.67484136639312,7.93596380010239,2.94123321989058,11.5341407805699,10.8320529180428,83.7247798422964,0.699731728087622,82.3354159781828,9.79121607479773,16.1209396767833,44.7934293736854,0.691630886156256,53.1403656368995,9.7988110502907,14165,Paxta
0-20,Loy,32.700323814622,1.19452091166244,7.0729734219561,1.16755896228746,194.178415600557,91.3265216119207,246.364954695419,2.32708863939318,120.338674668709,29.1444840821369,78.0151328050912,120.138218291021,1.03292026232552,161.967947097075,14.3407226596106,130376379,Makkajo'xori
40-60,Qumoq,27.5888911615708,1.36601799166116,7.14814194750675,1.6942591791537,104.105483917238,78.2848959333199,210.161971642115,2.27999336097607,113.580846082971,15.6012258392111,45.0806637056749,116.776886429325,0.699387427747855,107.985451645847,19.4282056646095,7209847,Makkajo'xori
20-40,Qumoq,19.9248112950978,1.33386365682336,6.92942894294757,1.98339674639897,114.791939840677,22.5533772035126,66.3104863791875,0.627309808454365,56.2473065406833,7.33130208554763,2.58983073062892,8.70305323161911,0.451715015417616,14.2138646607249,0.877191953105921,166473,Sabzi
0-20,Loy,28.0030304827993,1.28965451345107,7.31691281116758,1.51997364532369,28.678966628197,18.2378812418684,193.240947719978,1.20842100858401,184.853638681389,15.7800498953581,70.7378879715155,229.623026413913,1.57681660924133,227.872430035627,19.5233356527527,11563626,Bug'doy
20-40,Qum,26.4917799700742,1.37411969875209,7.78960022432863,2.13470759816122,22.4695287246589,8.13739739052478,130.813834448148,0.982587264180627,192.558437991376,17.5964270617817,41.2318176545875,181.654399453983,0.741961167152693,194.877486695266,17.9147725803217,1002845,Bug'doy
20-40,Qum,20.0468423007494,1.38157044570828,6.65901443629624,1.61316898342963,138.932764251658,66.0485681185835,181.956473357809,2.4180493205051,90.7949862544026,15.7525776442248,26.9742285298925,70.4053246656241,0.468877297085661,54.1876099054637,12.6167097868674,28451,Kartoshka
20-40,Yengil qum,19.20548096416,1.31653072424425,6.87239562588811,1.56972880885368,129.637481255778,27.553140494207,63.5263540907333,0.861853498772814,60.8423590225764,10.47279502321,2.56482955984472,6.55175135960247,0.507585490720458,9.55200866179316,1.15384782483207,451712,Sabzi
20-40,Yengil qum,24.3421056338845,1.32098135702191,8.14375047153252,2.54540465556392,21.2242932193924,19.1619397879635,118.597336925022,1.28185962375449,153.706041494152,10.6772942116497,40.667373771554,104.716435005691,0.762685726523904,104.677607246159,9.53370238940753,47481034,Paxta
20-40,Qumoq,23.1195820708118,1.4363642023447,7.96519683235685,1.67300228068045,11.9529114059025,3.20505017598472,130.337033525886,0.842929563478949,165.028639322096,13.1534311443062,,162.232503804103,1.35887798094274,143.245709616427,6.54568567618857,28434,Bug'doy
40-60,Qumoq,22.0959899707603,1.34576457083358,6.47972132455746,1.07456836380047,148.573469432959,45.0718676674198,163.470975106214,2.21945109561956,111.468245440611,16.9732594604168,30.5904974255217,117.809047617091,0.860104254390687,102.39135750425,14.1044948681635,,Kartoshka
0-20,Loy,27.2251611075333,1.26736833876851,6.76709126386535,1.5714466233325,86.8643452328006,47.6331678385567,139.622869671349,1.40007773619804,149.603489798416,15.7794845697142,38.6652206815375,128.253835457436,0.721355826025643,172.488334138094,12.7166793631834,31848154,Loviya
0-20,Loy,32.991570354904,,6.57010739598917,3.45323436103532,23.6971249472353,19.8456965324455,112.133323353795,1.00207007625796,134.225889484827,17.3710672307492,42.3581209396561,73.6920983438344,0.802147105283031,163.233455265208,16.9598429354392,33025082,Paxta
20-40,Qumoq,24.7914229354118,1.35853240969595,6.39720882014699,1.56498736089484,110.292702338948,57.7064113538258,201.006213465465,1.28523620403884,125.866575506898,22.9251058102889,41.0980044452638,55.5109167158976,0.736348033269737,74.6519753668538,8.75855641669312,12788222,Qalampir
20-40,Loy,27.0846301934474,1.24188922594334,6.56756890073818,1.48748836443635,123.537243820153,60.7830197778129,229.808966005514,1.34368403063804,124.418739017075,14.1976036096667,24.4615175993811,109.636306400591,0.603247898836638,94.3565359635399,12.1372938695266,2262996,Qalampir
20-40,Qumoq,24.5025395616305,1.34417977193467,5.97544524933843,1.50869387270845,136.12943653412,57.7547020515575,254.256388008284,2.54966692074028,104.142793346908,27.1377644986744,39.7566726449518,114.365265327682,1.13822758798704,85.7656548036977,13.1424979789629,2249835,Kartoshka
40-60,Yengil qum,18.0541292036547,1.35193707564407,6.39736387756357,1.66295697531605,133.5041848911,35.5961074092049,112.165280570015,0.693383505008477,58.5874972273018,17.8249341694169,2.22834498322002,12.1870282571888,0.456477752770702,15.6968432916124,2.03584232082906,555204,Sabzi
20-40,Loy,30.4917264966442,1.389662832218,6.53439707624349,1.85696226840028,160.600832829832,82.4523405535516,223.393465559074,2.7240494017161,108.710987849624,23.059033223,60.0924673435738,62.1396562637648,1.22333163147055,269.357857193938,16.5856538697203,11388066,Makkajo'xori
20-40,Loy,28.2799156060509,1.32924226716122,6.85430257566527,3.00329161738516,19.4699356769423,19.8172368643256,101.654414609353,0.863326488790115,115.577273357376,11.6286412540073,20.8116592441606,98.2396141949796,0.65420285085341,164.615606678599,8.45693277427688,2625534,Paxta
0-20,Qumoq,28.6512836987035,,6.37219166475691,1.24170414968389,143.565283387604,70.754413851808,275.6570120482,2.96284729628553,163.833522047181,39.0283568396321,42.0665881294144,173.168559915927,0.861653857507715,100.30677912239,15.5883770302796,181280167,Kartoshka
